id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
4,2026-07-07 12:31:43,model_nb15_fuzzers,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,561,18012,588,1299,0.9078,0.4883,0.3016,0.3729,0.9023,0.5251,0.3016,0.6984,0.9684,0.0316
11,2026-07-07 12:36:40,model_nb15_fuzzers,nb15,"DoS, Normal",102300,1442,18012,588,418,0.9508,0.7103,0.7753,0.7414,0.9514,0.8456,0.7753,0.2247,0.9684,0.0316
18,2026-07-07 12:41:28,model_nb15_fuzzers,nb15,"Exploits, Normal",102300,774,18012,588,1086,0.9182,0.5683,0.4161,0.4804,0.8857,0.582,0.4161,0.5839,0.9684,0.0316
25,2026-07-07 12:46:23,model_nb15_fuzzers,nb15,"Fuzzers, Normal",102300,954,18012,588,906,0.927,0.6187,0.5129,0.5608,0.9269,0.633,0.5129,0.4871,0.9684,0.0316
32,2026-07-07 12:51:22,model_nb15_fuzzers,nb15,"Generic, Normal",102300,69,18012,588,1791,0.8837,0.105,0.0371,0.0548,0.9062,0.3434,0.0371,0.9629,0.9684,0.0316
39,2026-07-07 12:56:06,model_nb15_fuzzers,nb15,"Reconnaissance, Normal",102300,356,18012,588,1504,0.8978,0.3771,0.1914,0.2539,0.8648,0.3922,0.1914,0.8086,0.9684,0.0316
46,2026-07-07 13:00:48,model_nb15_fuzzers,hybrid,"DDoS, Normal, Generic, UDP_DDoS, Exploits, Fuzzers, DoS, Reconnaissance, Botnet, Syn_DDoS",102300,715,18012,588,1145,0.9153,0.5487,0.3844,0.4521,0.9223,0.5571,0.3844,0.6156,0.9684,0.0316
53,2026-07-07 13:05:36,model_nb15_fuzzers,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,903,18012,588,957,0.9245,0.6056,0.4855,0.5389,0.9473,0.5659,0.4855,0.5145,0.9684,0.0316
60,2026-07-07 13:10:18,model_nb15_fuzzers,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,599,18012,588,1261,0.9096,0.5046,0.322,0.3932,0.9381,0.5228,0.322,0.678,0.9684,0.0316
67,2026-07-07 13:14:50,model_nb15_fuzzers,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1082,18012,588,778,0.9332,0.6479,0.5817,0.613,0.9536,0.611,0.5817,0.4183,0.9684,0.0316
74,2026-07-07 13:19:35,model_nb15_fuzzers,nb15_sat20,"Syn_DDoS, Normal",102300,0,18012,588,1860,0.8804,0.0,0.0,0.0,0.8939,0.3678,0.0,1.0,0.9684,0.0316
81,2026-07-07 13:25:29,model_nb15_fuzzers,nb15_sat20,"UDP_DDoS, Normal",102300,1168,18012,588,692,0.9374,0.6651,0.628,0.646,0.9763,0.731,0.628,0.372,0.9684,0.0316
88,2026-07-07 13:30:25,model_nb15_fuzzers,nb15_ter20,"Botnet, Normal",102300,1336,18012,588,524,0.9457,0.6944,0.7183,0.7061,0.9707,0.647,0.7183,0.2817,0.9684,0.0316
95,2026-07-07 13:34:58,model_nb15_fuzzers,nb15_ter20,"DDoS, Normal",102300,1460,18012,588,400,0.9517,0.7129,0.7849,0.7472,0.9749,0.7607,0.7849,0.2151,0.9684,0.0316
102,2026-07-07 13:40:36,model_nb15_fuzzers,nb15_ter20,"Syn_DDoS, Normal",102300,1,18012,588,1859,0.8804,0.0017,0.0005,0.0008,0.89,0.3377,0.0005,0.9995,0.9684,0.0316
109,2026-07-07 13:46:12,model_nb15_fuzzers,nb15_ter20,"UDP_DDoS, Normal",102300,0,18012,588,1860,0.8804,0.0,0.0,0.0,0.8896,0.3508,0.0,1.0,0.9684,0.0316
