id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
7,2026-07-17 08:32:29,nb15_ter20_ddos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5,0.091,0.0,1.0,1.0,0.0
17,2026-07-17 08:32:47,nb15_ter20_ddos,nb15,"Normal, DoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5003,0.091,0.0,1.0,1.0,0.0
27,2026-07-17 08:33:03,nb15_ter20_ddos,nb15,"Normal, Exploits",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5,0.091,0.0,1.0,1.0,0.0
37,2026-07-17 08:33:21,nb15_ter20_ddos,nb15,"Normal, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5041,0.0958,0.0,1.0,1.0,0.0
47,2026-07-17 08:33:39,nb15_ter20_ddos,nb15,"Normal, Generic",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5,0.0909,0.0,1.0,1.0,0.0
57,2026-07-17 08:33:56,nb15_ter20_ddos,nb15,"Normal, Reconnaissance",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.4998,0.0909,0.0,1.0,1.0,0.0
67,2026-07-17 08:34:13,nb15_ter20_ddos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,5,18600,0,1855,0.9093,1.0,0.0027,0.0054,0.5019,0.0944,0.0027,0.9973,1.0,0.0
77,2026-07-17 08:34:30,nb15_ter20_ddos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1235,18600,0,625,0.9695,1.0,0.664,0.7981,0.9623,0.9316,0.664,0.336,1.0,0.0
87,2026-07-17 08:34:47,nb15_ter20_ddos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,987,18600,0,873,0.9573,1.0,0.5306,0.6934,0.9685,0.9428,0.5306,0.4694,1.0,0.0
97,2026-07-17 08:35:05,nb15_ter20_ddos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1427,18600,0,433,0.9788,1.0,0.7672,0.8683,0.9645,0.9355,0.7672,0.2328,1.0,0.0
107,2026-07-17 08:35:22,nb15_ter20_ddos,nb15_sat20,"Normal, Syn_DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.9349,0.8817,0.0,1.0,1.0,0.0
117,2026-07-17 08:35:39,nb15_ter20_ddos,nb15_sat20,"Normal, UDP_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
127,2026-07-17 08:35:56,nb15_ter20_ddos,nb15_ter20,"Normal, Botnet",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
137,2026-07-17 08:36:13,nb15_ter20_ddos,nb15_ter20,"Normal, DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
147,2026-07-17 08:36:31,nb15_ter20_ddos,nb15_ter20,"Normal, Syn_DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.7875,0.6139,0.0,1.0,1.0,0.0
157,2026-07-17 08:36:48,nb15_ter20_ddos,nb15_ter20,"Normal, UDP_DDoS",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.9301,0.8729,0.0,1.0,1.0,0.0
