id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
101,2026-07-13 23:26:50,rf_model_nb15_aggregate,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,946,18432,168,914,0.9471,0.8492,0.5086,0.6362,0.9655,0.7229,0.5086,0.4914,0.991,0.009
102,2026-07-13 23:26:51,rf_model_nb15_dos,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,787,18541,59,1073,0.9447,0.9303,0.4231,0.5817,0.9961,0.9271,0.4231,0.5769,0.9968,0.0032
103,2026-07-13 23:26:51,rf_model_nb15_exploits,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,790,18478,122,1070,0.9417,0.8662,0.4247,0.57,0.9724,0.7594,0.4247,0.5753,0.9934,0.0066
104,2026-07-13 23:26:51,rf_model_nb15_fuzzers,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,599,18012,588,1261,0.9096,0.5046,0.322,0.3932,0.9381,0.5228,0.322,0.678,0.9684,0.0316
105,2026-07-13 23:26:51,rf_model_nb15_generic,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,28,18594,6,1832,0.9102,0.8235,0.0151,0.0296,0.7268,0.472,0.0151,0.9849,0.9997,0.0003
106,2026-07-13 23:26:52,rf_model_nb15_reconnaissance,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,748,18524,76,1112,0.9419,0.9078,0.4022,0.5574,0.9882,0.8698,0.4022,0.5978,0.9959,0.0041
107,2026-07-13 23:26:52,rf_model_injection_aggregate,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1843,18430,170,17,0.9909,0.9155,0.9909,0.9517,0.9987,0.9798,0.9909,0.0091,0.9909,0.0091
108,2026-07-13 23:26:53,rf_model_smote_aggregate,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
109,2026-07-13 23:26:53,if_model_nb15_normal,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1123,16620,1980,737,0.8672,0.3619,0.6038,0.4525,0.9126,0.3888,0.6038,0.3962,0.8935,0.1065
110,2026-07-13 23:26:53,if_model_nb15_aggregate,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1291,16601,1999,569,0.8745,0.3924,0.6941,0.5014,0.9101,0.4149,0.6941,0.3059,0.8925,0.1075
