id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
91,2026-07-13 17:35:39,rf_model_nb15_aggregate,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,954,18432,168,906,0.9475,0.8503,0.5129,0.6398,0.9723,0.7272,0.5129,0.4871,0.991,0.009
92,2026-07-13 17:35:39,rf_model_nb15_dos,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,296,18541,59,1564,0.9207,0.8338,0.1591,0.2673,0.982,0.8489,0.1591,0.8409,0.9968,0.0032
93,2026-07-13 17:35:39,rf_model_nb15_exploits,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,342,18478,122,1518,0.9198,0.7371,0.1839,0.2943,0.9764,0.7396,0.1839,0.8161,0.9934,0.0066
94,2026-07-13 17:35:40,rf_model_nb15_fuzzers,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,903,18012,588,957,0.9245,0.6056,0.4855,0.5389,0.9473,0.5659,0.4855,0.5145,0.9684,0.0316
95,2026-07-13 17:35:40,rf_model_nb15_generic,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,13,18594,6,1847,0.9094,0.6842,0.007,0.0138,0.6539,0.3365,0.007,0.993,0.9997,0.0003
96,2026-07-13 17:35:40,rf_model_nb15_reconnaissance,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,434,18524,76,1426,0.9266,0.851,0.2333,0.3662,0.8315,0.5882,0.2333,0.7667,0.9959,0.0041
97,2026-07-13 17:35:41,rf_model_injection_aggregate,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,1363,18451,149,497,0.9684,0.9015,0.7328,0.8084,0.9948,0.9147,0.7328,0.2672,0.992,0.008
98,2026-07-13 17:35:41,rf_model_smote_aggregate,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
99,2026-07-13 17:35:42,if_model_nb15_normal,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,1439,16620,1980,421,0.8826,0.4209,0.7737,0.5452,0.934,0.4737,0.7737,0.2263,0.8935,0.1065
100,2026-07-13 17:35:42,if_model_nb15_aggregate,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,1542,16601,1999,318,0.8868,0.4355,0.829,0.571,0.9321,0.4716,0.829,0.171,0.8925,0.1075
