id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
8,2026-07-13 23:40:56,rf_model_smote_aggregate,nb15,Normal,93000,0,18600,0,0,None,None,0.0,None,None,None,None,None,1.0,0.0
18,2026-07-13 23:41:00,rf_model_smote_aggregate,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5747,0.2143,0.0,1.0,1.0,0.0
28,2026-07-13 23:41:03,rf_model_smote_aggregate,nb15,"DoS, Normal",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.6973,0.4365,0.0,1.0,1.0,0.0
38,2026-07-13 23:41:06,rf_model_smote_aggregate,nb15,"Exploits, Normal",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.6226,0.3007,0.0,1.0,1.0,0.0
48,2026-07-13 23:41:10,rf_model_smote_aggregate,nb15,"Fuzzers, Normal",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5457,0.1638,0.0,1.0,1.0,0.0
58,2026-07-13 23:41:13,rf_model_smote_aggregate,nb15,"Generic, Normal",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.528,0.1367,0.0,1.0,1.0,0.0
68,2026-07-13 23:41:16,rf_model_smote_aggregate,nb15,"Reconnaissance, Normal",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5438,0.1595,0.0,1.0,1.0,0.0
78,2026-07-13 23:41:18,rf_model_smote_aggregate,injection,"Fuzzers, Normal, Reconnaissance, Generic, DoS, Exploits, Syn_DDoS, UDP_DDoS, DDoS, Botnet",102300,6,18600,0,1854,0.9094,1.0,0.0032,0.0064,0.5766,0.2188,0.0032,0.9968,1.0,0.0
88,2026-07-13 23:41:21,rf_model_smote_aggregate,smote,"Reconnaissance_Smote, Normal, Exploits_Smote, Generic_Smote, Fuzzers_Smote, DoS_Smote",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
98,2026-07-13 23:41:24,rf_model_smote_aggregate,nb15_stin,"UDP_DDoS, Normal, Botnet, Syn_DDoS, DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
108,2026-07-13 23:41:26,rf_model_smote_aggregate,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
118,2026-07-13 23:41:29,rf_model_smote_aggregate,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
128,2026-07-13 23:41:32,rf_model_smote_aggregate,nb15_sat20,"Syn_DDoS, Normal",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
138,2026-07-13 23:41:35,rf_model_smote_aggregate,nb15_sat20,"UDP_DDoS, Normal",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
148,2026-07-13 23:41:39,rf_model_smote_aggregate,nb15_ter20,"Botnet, Normal",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
158,2026-07-13 23:41:42,rf_model_smote_aggregate,nb15_ter20,"DDoS, Normal",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
168,2026-07-13 23:41:45,rf_model_smote_aggregate,nb15_ter20,"Syn_DDoS, Normal",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
178,2026-07-13 23:41:47,rf_model_smote_aggregate,nb15_ter20,"UDP_DDoS, Normal",102300,1858,18600,0,2,0.9999,1.0,0.9989,0.9995,1.0,1.0,0.9989,0.0011,1.0,0.0
