id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
101,2026-07-13 16:15:40,rf_model_nb15_aggregate,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1020,18432,168,840,0.9507,0.8586,0.5484,0.6693,0.9782,0.7461,0.5484,0.4516,0.991,0.009
102,2026-07-13 16:15:44,rf_model_nb15_dos,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,14,18541,59,1846,0.9069,0.1918,0.0075,0.0145,0.9779,0.7987,0.0075,0.9925,0.9968,0.0032
103,2026-07-13 16:15:48,rf_model_nb15_exploits,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,72,18478,122,1788,0.9066,0.3711,0.0387,0.0701,0.9798,0.7368,0.0387,0.9613,0.9934,0.0066
104,2026-07-13 16:15:53,rf_model_nb15_fuzzers,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1082,18012,588,778,0.9332,0.6479,0.5817,0.613,0.9536,0.611,0.5817,0.4183,0.9684,0.0316
105,2026-07-13 16:15:57,rf_model_nb15_generic,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,2,18594,6,1858,0.9089,0.25,0.0011,0.0021,0.6192,0.2661,0.0011,0.9989,0.9997,0.0003
106,2026-07-13 16:16:01,rf_model_nb15_reconnaissance,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,214,18524,76,1646,0.9158,0.7379,0.1151,0.1991,0.7399,0.42,0.1151,0.8849,0.9959,0.0041
107,2026-07-13 16:16:06,rf_model_injection_aggregate,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1857,18456,144,3,0.9928,0.928,0.9984,0.9619,0.9997,0.9942,0.9984,0.0016,0.9923,0.0077
108,2026-07-13 16:16:10,rf_model_smote_aggregate,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
109,2026-07-13 16:16:15,if_model_nb15_normal,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1636,16620,1980,224,0.8923,0.4524,0.8796,0.5975,0.9483,0.5545,0.8796,0.1204,0.8935,0.1065
110,2026-07-13 16:16:19,if_model_nb15_aggregate,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1691,16601,1999,169,0.894,0.4583,0.9091,0.6094,0.9472,0.5325,0.9091,0.0909,0.8925,0.1075
