id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
151,2026-07-13 16:19:28,rf_model_nb15_aggregate,nb15_ter20,"Syn_DDoS, Normal",102300,0,18432,168,1860,0.9009,0.0,0.0,0.0,0.9593,0.5563,0.0,1.0,0.991,0.009
152,2026-07-13 16:19:31,rf_model_nb15_dos,nb15_ter20,"Syn_DDoS, Normal",102300,0,18541,59,1860,0.9062,0.0,0.0,0.0,0.9944,0.8872,0.0,1.0,0.9968,0.0032
153,2026-07-13 16:19:36,rf_model_nb15_exploits,nb15_ter20,"Syn_DDoS, Normal",102300,0,18478,122,1860,0.9031,0.0,0.0,0.0,0.9578,0.576,0.0,1.0,0.9934,0.0066
154,2026-07-13 16:19:40,rf_model_nb15_fuzzers,nb15_ter20,"Syn_DDoS, Normal",102300,1,18012,588,1859,0.8804,0.0017,0.0005,0.0008,0.89,0.3377,0.0005,0.9995,0.9684,0.0316
155,2026-07-13 16:19:44,rf_model_nb15_generic,nb15_ter20,"Syn_DDoS, Normal",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.9349,0.7997,0.0,1.0,0.9997,0.0003
156,2026-07-13 16:19:49,rf_model_nb15_reconnaissance,nb15_ter20,"Syn_DDoS, Normal",102300,359,18524,76,1501,0.9229,0.8253,0.193,0.3129,0.9944,0.891,0.193,0.807,0.9959,0.0041
157,2026-07-13 16:19:53,rf_model_injection_aggregate,nb15_ter20,"Syn_DDoS, Normal",102300,1860,18456,144,0,0.993,0.9281,1.0,0.9627,0.9997,0.9937,1.0,0.0,0.9923,0.0077
158,2026-07-13 16:19:57,rf_model_smote_aggregate,nb15_ter20,"Syn_DDoS, Normal",102300,1860,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
159,2026-07-13 16:20:01,if_model_nb15_normal,nb15_ter20,"Syn_DDoS, Normal",102300,1032,16620,1980,828,0.8628,0.3426,0.5548,0.4236,0.916,0.4146,0.5548,0.4452,0.8935,0.1065
160,2026-07-13 16:20:06,if_model_nb15_aggregate,nb15_ter20,"Syn_DDoS, Normal",102300,1860,16601,1999,0,0.9023,0.482,1.0,0.6505,0.9371,0.4887,1.0,0.0,0.8925,0.1075
