model_label,Aggregate nb15,DoS nb15,Exploits nb15,Fuzzers nb15,Generic nb15,Reconnaissance nb15,Aggregate injection,Aggregate nb15_stin,Aggregate nb15_sat20,Aggregate nb15_ter20,Syn_DDoS nb15_sat20,UDP_DDoS nb15_sat20,Botnet nb15_ter20,DDoS nb15_ter20,Syn_DDoS nb15_ter20,UDP_DDoS nb15_ter20, ,Average
HGB (Aggregate nb15_stin),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
HGB (Aggregate nb15_sat20),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
HGB (Aggregate nb15_ter20),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
HGB (Syn_DDoS nb15_sat20),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
HGB (UDP_DDoS nb15_sat20),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
HGB (Botnet nb15_ter20),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
HGB (DDoS nb15_ter20),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
HGB (Syn_DDoS nb15_ter20),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
HGB (UDP_DDoS nb15_ter20),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
  ,,,,,,,,,,,,,,,,,,
HGB (Aggregate injection),0.99658,0.99658,0.99658,0.99658,0.99658,0.99658,0.99658,0.99658,0.99658,0.99658,0.99658,0.99658,0.99658,0.99658,0.99658,0.99658,,0.99658
